TourenÅbersicht;;;;;
Lieferdatum: 28.08.25;;;;;
;;;;;
Kdnr;Name;Stra·e;PLZ;Ort;Gedruckt
;W-07.00 Uhr BAR;;;;
4993;Jochen - PF;;;;1
5023;Stockmann KFZ-Service;Cowaplast 28;01640;Coswig;1
;;;;;
;W-07.00 Uhr Tour;;;;
5205;DISTREX Fahrzeugservice e.K.;Wiener Stra·e 10;01069;Dresden;1
1055;Motoreninstandsetzung;Am Trachauer Bahnhof 11;01139;Dresden;1
4727;Waldek Cars;Sternstra·e 47;01139;Dresden;1
4169;SachsenNetze GmbH;Fabrikstr.5;01159;Dresden;1
5236;MSM by HUBraum GmbH;Frîbelstra·e 20;01159;Dresden;1
5119;Gomodrom Automobile;Kesselsdorfer Str. 99;01159;Dresden;1
4522;Autoservice Reichert GmbH ;Kesselsdorfer Strasse 99 ;01159;Dresden;1
5116;CAR-ART GmbH;Lîbtauer Str. 55;01159;Dresden;1
4179;Dresdner Reifen Zentrale GmbH;Lîbtauer Strasse 34-38;01159;Dresden;1
5454;"Kfz-Betrieb ""Die Meister""";Lîbtauer Strasse 54-56;01159;Dresden;1
4456;Silbermann Fahrzeugservice;Tharandter Strasse 63a;01159;Dresden;1
4026;AUTO LUST;Krausestra·e 4;01187;Dresden;1
5530;SÑgner's Fahrzeugtechnik;BurgstÑdter Str. 3;01219;Dresden;1
4812;Pauls Garage;Reicker Stra·e 53;01219;Dresden;1
4015;Autoservice Hartmann;Altreick 26;01237;Dresden;1
4179;Dresdner Reifen Zentrale GmbH;Lohrmannstra·e 22;01237;Dresden;1
1226;Auto JÅrgen Pfeiffer KG;Reicker Str. 91;01237;Dresden;1
5610;ReifenCenter Dresden;Bismarckstra·e 57;01257;Dresden;1
5000;T & S Fahrzeugtechnik GmbH;BÑrensteiner Str. 27-29;01277;Dresden;1
5445;Autoservice Laubegast;ôsterreicher Str. 63;01279;Dresden;1
4413;Kfz-Meisterbetrieb Stege;Tolkewitzer Strasse 83;01279;Dresden;1
4067;RR Auto- & Reifenservice GmbH Radebeul;Schumannstra·e 18;01445;Radebeul;1
4044;Autoreparaturwerk Freital KG;Cunnersdorferstra·e 12;01705;Freital;1
5061;Klassische Automobile Schwarz;Rundteil 7b;01728;Bannewitz OT Possendorf;1
5058;Schraubwerk Schulze;Stra·e der MTS 1;01737;Braunsdorf;1
4331;FTT Fahrzeug Technik Tharandt;Dresdner Stra·e 36b;01737;Tharandt;1
5342;Karosseriefachbetrieb Kirchner;Freitaler Stra·e 8;01737;Tharandt/Gro·opitz;1
4565;Marco Wagner;NiedermÅhle 117;01738;Dorfhain;1
5137;Auto mobile DW GmbH;Gewerbering 4;01744;Dippoldiswalde;1
;;;;;
;PIR Anlief. 7.45 Uhr;;;;
4646;Gustavs Autohof;Wittgensdorf Nr. 16;01731;Kreischa OT Wittgensdorf;1
40158;Kloss Auto-Service;Bahretalstr. 3a;01796;Dohma;1
40736;JÅrgen Schiebel;Cotta B 16G;01796;Dohma;1
40257;Autohaus Welde GmbH;Dresdner Strasse 5;01796;Pirna;1
50418;Bernd Forker GmbH;Siegfried RÑdel-Str.37;01796;Pirna;1
40482;Kfz-Reparatur;Pratzschwitzer Stra·e 220;01796;Pirna/Birkwitz;1
40138;Kfz-Service Hertling;Herbert-Liebsch- Str. 4;01796;Pirna-Sonnenstein;1
5288;Die-Autogesellschaft-Dresden.de;Hauptstra·e 1;01809;Heidenau;1
4231;Autohaus Olaf Streit;Ringstra·e 25;01809;Heidenau;1
40108;Autoservice Arnold;Talstr. 19;01816;Berggie·hÅbel;1
;;;;;
;W-09.00 Uhr BAR;;;;
5084;Profil 25;Buchholzweg 2;01445;Radebeul;1
5023;Stockmann KFZ-Service;Cowaplast 28;01640;Coswig;1
4590;Fahrzeugservice u.;Grenzstr. 9;01640;Coswig;1
;;;;;
;W-09.00 Uhr Tour;;;;
4759;Kaute -Motoreninstandsetzung;Gro·enhainer Stra·e 19;01097;Dresden;1
2939;Autoservice Petters GmbH;Sternstra·e 14;01139;Dresden;1
4052;KFZ-Service Holger Garz;Veteranenstr. 3;01139;Dresden;1
4052;KFZ-Service Holger Garz;Veteranenstr. 3;01139;Dresden;1
1330;Autoservice Bernhardt;Chamissostr.  2;01157;Dresden;1
4529;Freie Kfz.-Werkstatt Czerwonka;Lîbtauer Strasse 65;01159;Dresden;1
4923;Basti's KFZ-Werkstatt;Tharandter Stra·e 41b;01159;Dresden;1
4456;Silbermann Fahrzeugservice;Tharandter Strasse 63a;01159;Dresden;1
4339;Autohaus;CoschÅtzer Str. 1;01187;Dresden;1
4026;AUTO LUST;Krausestra·e 4;01187;Dresden;1
4376;Autoservice und Fahrzeugbau Steglich;Reisstra·e  37;01257;Dresden;1
4188;Kommunalfahrzeuge Heidrich GmbH;Fîrsterlingstrasse 23;01259;Dresden;1
4278;Kraftwagen-Reparatur;Keppgrundstrasse 7;01259;Dresden;1
4326;Auto Trentzsch GbR;Bodenbacher Strasse 109;01277;Dresden;1
5445;Autoservice Laubegast;ôsterreicher Str. 63;01279;Dresden;1
1068;Autoteile Ehrlich;Kîtzschenbrodaer Str. 38;01445;Radebeul;1
1473;Fa.Wilms;Dresdner Str. 189;01640;Coswig - OT Brockwitz;1
4510;BRAUNE Autolackierbedarf GmbH;Burgker Strasse 135;01705;Freital;1
4050;Auto Haase;CoschÅtzer Stra·e 46;01705;Freital;1
4333;Auto Kaden KG;Fichte Strasse 13c;01705;Freital;1
5495;Autoservice Pohlmann;Hauptstra·e 70;01705;Freital;1
4515;Reifen-& Autoservice Roespel ;Wilsdruffer Strasse 11;01723;Kesselsdorf;1
4426;Kfz-Meisterbetrieb Sîllner;August Bebel Strasse 82;01728;Bannewitz;1
4723;KFZ-Werkstatt Auto-Gut;Poisentalstra·e 24;01728;Bannewitz;1
4271;Autohaus Godzik OHG;Hauptstrasse 9a;01728;Bannewitz/OT Possendorf;1
5598;Fahrzeug und Systemtechnik Ehring GmbH;Str. der MTS 1;01737;Braunsdorf;1
5598;Fahrzeug und Systemtechnik Ehring GmbH;Str. der MTS 1;01737;Braunsdorf;1
4331;FTT Fahrzeug Technik Tharandt;Dresdner Stra·e 36b;01737;Tharandt;1
5342;Karosseriefachbetrieb Kirchner;Freitaler Stra·e 8;01737;Tharandt/Gro·opitz;1
4565;Marco Wagner;NiedermÅhle 117;01738;Dorfhain;1
5415;Autohaus Rettberg GmbH;Altenberger Str. 48;01744;Dippoldiswalde;1
5432;AS Frank Zimmermann;Hauptstra·e 89;01744;Dippoldiswalde;1
5646;Dippser-Auto-Ecke;Obertorplatz 13A;01744;Dippoldiswalde;1
5428;Land-Bau-&Fahrzeugtechnik;Dorfstra·e 37;01768;GlashÅtte OT Luchau;1
5388;Autohaus Leuteritz GmbH;MÅglitztalstra·e 10;01773;Altenberg OT BÑrenstein;1
5382;ASH Dirk HÑger;Am MÅhlgraben 3;01774;Klingenberg;1
;;;;;
;CB Anlief. T5, 9.15 Uhr;;;;
6002;FAMO Fahrzeug-und Motorenteile GmbH;Am Telering 1;03051;Cottbus;1
;;;;;
;Anlief. T3, 9.30 Uhr;;;;
2574;MOTORSTOPP;Hallesche Str. 77;04159;Leipzig;1
2571;Thomas Bode;Rosenowstr. 8;04357;Leipzig;1
;;;;;
;TA Anlief. T3, 9.30 Uhr;;;;
6005;FAMO Fahrzeug-und Motorenteile GmbH;Dewitzer Str. 77f;04425;Taucha;1
;;;;;
;PIR Anlief. 9.45 Uhr;;;;
4646;Gustavs Autohof;Wittgensdorf Nr. 16;01731;Kreischa OT Wittgensdorf;1
40158;Kloss Auto-Service;Bahretalstr. 3a;01796;Dohma;1
40736;JÅrgen Schiebel;Cotta B 16G;01796;Dohma;1
