0;1;2;3;4;5
Tourenübersicht;;;;;
Lieferdatum: 10.09.25;;;;;
;;;;;
Kdnr;Name;Straße;PLZ;Ort;Gedruckt
;W-07.00 Uhr BAR;;;;
4993;Peter Söllner;;;;1
4993;Jens Spahn - PF;;;;1
5023;Stockmann KFZ-Service;Cowaplast 28;01640;Coswig;1
;;;;;
;W-07.00 Uhr Tour;;;;
4747;Lackwerk LW GmbH;Bremer Straße 5;01067;Dresden;1
1055;Motoreninstandsetzung;Am Trachauer Bahnhof 11;01139;Dresden;1
4117;Autohaus Zimmermann;Am Trachauer Bahnhof 9;01139;Dresden;1
4169;SachsenNetze GmbH;Fabrikstr.5;01159;Dresden;1
5119;Gomodrom Automobile;Kesselsdorfer Str. 99;01159;Dresden;1
5116;CAR-ART GmbH;Löbtauer Str. 55;01159;Dresden;1
4339;Autohaus;Coschützer Str. 1;01187;Dresden;1
4026;AUTO LUST;Krausestraße 4;01187;Dresden;1
5530;Sägner's Fahrzeugtechnik;Burgstädter Str. 3;01219;Dresden;1
4295;Adrian Glöckner Automobile GmbH;Dohnaer Strasse 103a;01219;Dresden;1
4812;Pauls Garage;Reicker Straße 53;01219;Dresden;1
4015;Autoservice Hartmann;Altreick 26;01237;Dresden;1
4601;Automatikgetriebeservice ;Mügelner Str.29;01237;Dresden;1
1226;Auto Jürgen Pfeiffer KG;Reicker Str. 91;01237;Dresden;1
4016;Autoservice Heinze GmbH;Dohnaer Straße 119;01239;Dresden;1
5116;CAR-ART GmbH;Bismarkstr. 63;01257;Dresden;1
5000;T & S Fahrzeugtechnik GmbH;Bärensteiner Str. 27-29;01277;Dresden;1
5445;Autoservice Laubegast;ÖÖsterreicher Str. 63;01279;Dresden;1
4413;Kfz-Meisterbetrieb Stege;Tolkewitzer Strasse 83;01279;Dresden;1
4976;Autoservice Mehlig;Schulstraße 25;01468;Moritzburg (OT Boxdorf);1
5252;Bernd Schmiedgen;Lindeberg 2;01471;Radeburg;1
5259;Autoteam Schade;Dresdner Strasse 119a;01640;Coswig;1
4050;Auto Haase;Coschützer Straße 46;01705;Freital;1
5200;Reifenhaus Freital GbR;Dresdner Strasse 3;01705;Freital;1
1084;Keilig Willi Inh. A.Hähnel;Wilsdruffer Str. 102;01705;Freital;1
4041;Helmut Hammerschmidt KFZ;Wilsdruffer Straße 65;01705;Freital;1
4426;Kfz-Meisterbetrieb Söllner;August Bebel Strasse 82;01728;Bannewitz;1
4271;Autohaus Godzik OHG;Hauptstrasse 9a;01728;Bannewitz/OT Possendorf;1
